manufacturer,model,serial number,manufactured_date,device_type
ZOLL Medical,X Series,AR17B023487,2017-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065076,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065023,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065078,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065063,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AFAV17D064978,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065082,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065057,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065077,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065075,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D064998,2017-04-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF17D065062,2017-04-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF17D065064,2017-04-01,Defibrillator Monitor
Edan Instruments,IM50,M17602270005,2017-06-01,Patient Monitor
Edan Instruments,IM50,M17602270003,2017-06-01,Patient Monitor
ZOLL Medical,M SERIES,T0787302,2017-08-01,Defibrillator
Edan Instruments,ELITEV5,M17902120005,2017-09-01,Patient Monitor
Edan Instruments,ELITEV5,M17902120008,2017-09-01,Patient Monitor
Edan Instruments,ELITEV5,M17902120007,2017-09-01,Patient Monitor
Edan Instruments,IM50,M17A03210041,2017-10-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82001700,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061694,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061728,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061726,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061785,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061747,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099472,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061749,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061730,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061733,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061720,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061692,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061717,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061736,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061763,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061695,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE882061716,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099502,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82099483,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE82061791,2018-01-01,Patient Monitor
Philips,INTELLIVUE MP50,DE820A3726,2018-01-01,Patient Monitor
Philips,M3002A,DE83623218,2018-01-01,Patient Monitor Module
THERMO SCIENTIFIC,SMARTVUE915,18175660D4C1,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,18175660D4D3,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,18175660CABF,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,18355660D0LE,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,18175660CB13,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,18175660CABC,2018-01-01,Laboratory Freezer
THERMO SCIENTIFIC,SMARTVUE915,181751606DFD,2018-01-01,Laboratory Freezer
Welch Allyn,FILAC3000,A1863046X,2018-01-01,Thermometer
ZOLL Medical,M SERIES,T08103497,2018-01-01,Defibrillator
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827871,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828391,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3816037,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3828200,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3822726,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831807,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830586,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3831239,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3830354,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825223,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825288,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825471,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3825020,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823921,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3823577,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3805055,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826615,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826190,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826314,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3826273,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827365,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827207,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827402,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3817236,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827856,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827685,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827744,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827658,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827902,2018-01-01,Infusion Pump
BAXTER HEALTHCARE CORP.,SPECTRUM IQ,3827796,2018-01-01,Infusion Pump
ZOLL Medical,X Series,AR18C030657,2018-03-01,Defibrillator Monitor
Edan Instruments,IM70,M18414780039,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780018,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780026,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780044,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780027,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780031,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780047,2018-04-01,Patient Monitor
Edan Instruments,IM70,M18414780019,2018-04-01,Patient Monitor
ZOLL Medical,AEDPLUS,X18E025923,2018-05-01,Automated External Defibrillator
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SASPX18510114SA,2018-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SASPX18510041SA,2018-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA318200468SA,2018-05-01,Patient Monitor
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SASPX18500865SA,2018-05-01,Patient Monitor
Edan Instruments,SE1200EXPRESS,460016-M18706470008,2018-07-01,ECG Machine
Edan Instruments,IM50,M18709800015,2018-07-01,Patient Monitor
ZOLL Medical,X Series,AR18G033409,2018-07-01,Defibrillator Monitor
Edan Instruments,iT20,M18909080003,2018-09-01,ECG Machine
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA318360435SA,2018-09-01,Patient Monitor
ZOLL Medical,R Series ALS,AF18L089149,2018-12-01,Defibrillator Monitor
Edan Instruments,IM50,M19110560012,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850023,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850015,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850029,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850033,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850017,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100580024,2019-01-01,Patient Monitor
Edan Instruments,IM50,M19100850001,2019-01-01,Patient Monitor
Masimo,RAD8,M192824,2019-01-01,Pulse Oximeter
Masimo,RAD8,M192444,2019-01-01,Pulse Oximeter
Masimo,RAD8,M192465,2019-01-01,Pulse Oximeter
Masimo,RAD8,M192344,2019-01-01,Pulse Oximeter
ZOLL Medical,RSERIES,AF19A091958,2019-01-01,Defibrillator Monitor
ZOLL Medical,M SERIES,T09B109955,2019-02-01,Defibrillator
ZOLL Medical,M SERIES,T09B109792,2019-02-01,Defibrillator
ZOLL Medical,R Series ALS,AF19B092952,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092950,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092199,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092935,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092455,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092465,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092949,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092928,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092207,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092946,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092943,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092936,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092428,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092467,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092223,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092456,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092482,2019-02-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19B092446,2019-02-01,Defibrillator Monitor
Edan Instruments,iT20,M19413150003,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130058,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413150044,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413150007,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130016,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130060,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130011,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130027,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130015,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130013,2019-04-01,ECG Machine
Edan Instruments,iT20,M19413130052,2019-04-01,ECG Machine
ZOLL Medical,R Series ALS,AF19D096889,2019-04-01,Defibrillator Monitor
Edan Instruments,ELITEV5,M19507110013,2019-05-01,Patient Monitor
Edan Instruments,ELITEV5,M19507110011,2019-05-01,Patient Monitor
ZOLL Medical,R Series ALS,AF19E096912,2019-05-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099133,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099132,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099189,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099267,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099254,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099305,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099263,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099134,2019-06-01,Defibrillator Monitor
ZOLL Medical,R Series ALS,AF19F099298,2019-06-01,Defibrillator Monitor
Edan Instruments,ELITEV5,M19701080008,2019-07-01,Patient Monitor
Edan Instruments,ELITEV5,M19701080003,2019-07-01,Patient Monitor
Edan Instruments,ELITEV5,M19701080007,2019-07-01,Patient Monitor
Edan Instruments,ELITEV5,M19701080019,2019-07-01,Patient Monitor
Edan Instruments,ELITEV5,M19702060009,2019-07-01,Patient Monitor
Edan Instruments,iT20,M19706920013,2019-07-01,ECG Machine
ZOLL Medical,AEDPLUS,X19G176549,2019-07-01,Automated External Defibrillator
Edan Instruments,F9EXPRESS,M19804740024,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740020,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740011,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740025,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740005,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740015,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740016,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M1980570002,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740001,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740013,2019-08-01,Fetal Monitor
Edan Instruments,F9EXPRESS,M19804740022,2019-08-01,Fetal Monitor
Edan Instruments,ELITEV5,M19805320027,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320022,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320040,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320023,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320016,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320048,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320020,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320038,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320045,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320009,2019-08-01,Patient Monitor
Edan Instruments,ELITEV5,M19805320026,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530018,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530004,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530017,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530014,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530019,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530008,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530010,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530016,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530003,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530011,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530006,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530005,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530007,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530001,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530013,2019-08-01,Patient Monitor
Edan Instruments,IM70,M19805530002,2019-08-01,Patient Monitor
ZOLL Medical,M SERIES,T098109977,2019-08-01,Defibrillator
ZOLL Medical,M SERIES,T09K116484,2019-11-01,Defibrillator
Edan Instruments,iT20,M2012320037,2020-01-01,ECG Machine
Welch Allyn,FILAC3000,A2053244X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A202057084X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2060906X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2066575X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2057370X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2055074X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2057912X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2057043X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2062842X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2060107X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2066567X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2057032X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A206611345X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2066565X,2020-01-01,Thermometer
Welch Allyn,FILAC3000,A2055919X,2020-01-01,Thermometer
ZOLL Medical,X Series,AR20A045649,2020-01-01,Defibrillator Monitor
ZOLL Medical,X Series,AR20A045327,2020-01-01,Defibrillator Monitor
LINET,ELEGANZA 3,20200275616,2020-02-01,Hospital Bed
ZOLL Medical,X Series,AR20B046467,2020-02-01,Defibrillator Monitor
Edan Instruments,IM70,M260066-M20320530023,2020-03-01,Patient Monitor
Edan Instruments,IM70,M260066-M20320530024,2020-03-01,Patient Monitor
Edan Instruments,IM70,M260066-M20320530007,2020-03-01,Patient Monitor
Edan Instruments,IM70,M260066-M20320530030,2020-03-01,Patient Monitor
ZOLL Medical,X Series,AR20C047049,2020-03-01,Defibrillator Monitor
ZOLL Medical,X Series,AR20C047039,2020-03-01,Defibrillator Monitor
Edan Instruments,iT20,M20403290003,2020-04-01,ECG Machine
Edan Instruments,iT20,M20403290001,2020-04-01,ECG Machine
Edan Instruments,IM3,262096-M20706520060,2020-07-01,Patient Monitor
Edan Instruments,IM3,261436-M20903720061,2020-09-01,Patient Monitor
Edan Instruments,IM3,261436-M20903720005,2020-09-01,Patient Monitor
Covidien,RAPIDVAC,VL012165X,2021-01-01,Vacuum Drainage System
Covidien,RAPIDVAC,VL012164X,2021-01-01,Vacuum Drainage System
LINET,ELEGANZA 3,20210147025,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210147077,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210149187,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210101683,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210101685,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210147060,2021-01-01,Hospital Bed
LINET,ELEGANZA 3,20210147032,2021-01-01,Hospital Bed
Mindray,BENEVISION N15,FSF5-11025372,2021-01-01,Ultrasound System
Stryker,1061,2021005801196,2021-01-01,Hospital Bed
Stryker,1061,2021005801198,2021-01-01,Hospital Bed
Stryker,1061,2021005801199,2021-01-01,Hospital Bed
Stryker,1061,2021005801197,2021-01-01,Hospital Bed
ZOLL Medical,X Series,AR21A054264,2021-01-01,Defibrillator Monitor
ARJO INC.,FLOWTRON,2100053978,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054510,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100067774,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054523,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054001,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054283,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054494,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054522,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054527,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100064600,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100064601,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053935,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053984,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053991,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100064603,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053980,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053932,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100053928,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054542,2021-01-01,Compression Therapy System
ARJO INC.,FLOWTRON,2100054511,2021-01-01,Compression Therapy System
Edan Instruments,iT20,M21203860030,2021-02-01,ECG Machine
Edan Instruments,iT20,M21203860028,2021-02-01,ECG Machine
Edan Instruments,IM3,261436-M21508650086,2021-05-01,Patient Monitor
Edan Instruments,IM3,261436-M21508650088,2021-05-01,Patient Monitor
Edan Instruments,IM3,261436-M21508650067,2021-05-01,Patient Monitor
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108144EN,2021-08-14,Infusion Pump
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108189EN,2021-08-18,Infusion Pump
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108193EN,2021-08-19,Infusion Pump
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108205EN,2021-08-20,Infusion Pump
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108208EN,2021-08-20,Infusion Pump
Edan Instruments,F9EXPRESS,M560039-M21C11330002,2021-12-01,Fetal Monitor
Stryker,1061,2022005800690,2022-01-01,Hospital Bed
Stryker,1061,2022005800345,2022-01-01,Hospital Bed
Stryker,1061,2022005800343,2022-01-01,Hospital Bed
Stryker,1061,2022005800691,2022-01-01,Hospital Bed
Stryker,1061,2022005800344,2022-01-01,Hospital Bed
Edan Instruments,iT20,M22411170006,2022-04-01,ECG Machine
Edan Instruments,iT20,M22411170008,2022-04-01,ECG Machine
American Diagnostic,CE 1434,C22192114,2022-05-01,Stethoscope
American Diagnostic,CE 1434,C22192189,2022-05-01,Stethoscope
ZOLL Medical,AEDPLUS,X22E470885,2022-05-01,Automated External Defibrillator
ZOLL Medical,X Series,AR22E067679,2022-05-01,Defibrillator Monitor
Mindray,EPM12MA,AH9-26000857,2022-06-01,Patient Monitor
Mindray,EPM12MA,AH9-26000861,2022-06-01,Patient Monitor
Mindray,EPM12MA,AH9-26000860,2022-06-01,Patient Monitor
Mindray,EPM12MA,AH9-26000859,2022-06-01,Patient Monitor
ZOLL Medical,AEDPLUS,X22F478419,2022-06-01,Automated External Defibrillator
Mindray,EPM12MA,AH9-27000897,2022-07-01,Patient Monitor
Mindray,BENEVISION N15,FS-28042613,2022-08-01,Ultrasound System
Mindray,BENEVISION N15,FS-28042614,2022-08-01,Ultrasound System
Mindray,BENEVISION N15,FS-28042615,2022-08-01,Ultrasound System
Mindray,BENEVISION N15,FSF5-28042623,2022-08-01,Ultrasound System
Mindray,BENEVISION N15,FS-28042602,2022-08-01,Ultrasound System
Mindray,BENEVISION N15,FS-28042236,2022-08-01,Ultrasound System
ZOLL Medical,X Series,AR22L073058,2022-12-01,Defibrillator Monitor
Covidien,RAPIDVAC,VL012301X,2023-01-01,Vacuum Drainage System
Edan Instruments,SE1200EXPRESS,M23116470007,2023-01-01,ECG Machine
Edan Instruments,SE1200EXPRESS,460016-M23116470013,2023-01-01,ECG Machine
Welch Allyn,SURETEMPPLUS,23038261,2023-01-01,Digital Thermometer
Mindray,EPM12MA,AH9-34001722,2023-04-01,Patient Monitor
ZOLL Medical,RSERIES,AF23G169205,2023-07-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF23G169292,2023-07-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF23G169321,2023-07-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF23G169315,2023-07-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF23G169217,2023-07-01,Defibrillator Monitor
Edan Instruments,SE1200EXPRESS,460016-M23801490029,2023-08-01,ECG Machine
Edan Instruments,SE1200EXPRESS,460016-M23801490022,2023-08-01,ECG Machine
Edan Instruments,SE1200EXPRESS,460016-M23801490034,2023-08-01,ECG Machine
Edan Instruments,SE1200EXPRESS,460016-M23801490035,2023-08-01,ECG Machine
Edan Instruments,F9EXPRESS,M560039-M23909480002,2023-09-01,Fetal Monitor
Edan Instruments,iT20,M23910480001,2023-09-01,ECG Machine
Mindray,EPM12MA,AH9-3A001717,2023-10-01,Patient Monitor
Mindray,EPM12MA,AH9-3A001716,2023-10-01,Patient Monitor
Mindray,EPM12MA,AH9-3A001721,2023-10-01,Patient Monitor
Mindray,EPM12MA,AH9-3A001718,2023-10-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001824,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001806,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001812,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001805,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001789,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001781,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001814,2023-12-01,Patient Monitor
Mindray,EPM12MA,AH9-3C001780,2023-12-01,Patient Monitor
ZOLL Medical,AEDPLUS,X23L761535,2023-12-01,Automated External Defibrillator
ZOLL Medical,RSERIES,AF23L173769,2023-12-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF23L173935,2023-12-01,Defibrillator Monitor
Edan Instruments,iT20,M2415750004,2024-01-01,ECG Machine
Welch Allyn,SURETEMPPLUS,24519376,2024-01-01,Digital Thermometer
ZOLL Medical,RSERIES,AF24A174904,2024-01-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF24A174867,2024-01-01,Defibrillator Monitor
LINET,ELEGANZA 4,20240217185,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240217163,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240217171,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240217177,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240219124,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240211343,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240211435,2024-02-01,Hospital Bed
LINET,ELEGANZA 4,20240315321,2024-03-01,Hospital Bed
ZOLL Medical,RSERIES,AF24C175990,2024-03-01,Defibrillator Monitor
ZOLL Medical,RSERIES,AF24C175991,2024-03-01,Defibrillator Monitor
Edan Instruments,iT20,M24402010037,2024-04-01,ECG Machine
Edan Instruments,iT20,M24402010035,2024-04-01,ECG Machine
Edan Instruments,iT20,M24402010034,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380006,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380010,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380009,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380008,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380007,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380001,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380003,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380004,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380002,2024-04-01,ECG Machine
Edan Instruments,iT20,M24408380005,2024-04-01,ECG Machine
American Diagnostic,CE 1434,C241870143,2024-05-01,Stethoscope
American Diagnostic,CE 1434,C241870093,2024-05-01,Stethoscope
American Diagnostic,CE 1434,C241843867,2024-05-01,Stethoscope
American Diagnostic,CE 1434,C241843922,2024-05-01,Stethoscope
American Diagnostic,CE 1434,C241843881,2024-05-01,Stethoscope
American Diagnostic,CE 1434,C241843806,2024-05-01,Stethoscope
ZOLL Medical,RSERIES,AF24E178300,2024-05-01,Defibrillator Monitor
